No,Name,Weight,Calorie,Protein ,Carbohydrates ,Sugar,Fat ,Saturated ,Fiber,Sodium,Source,Country,Original_Portion
3774,Grilled Tuna Steaks with Grape and Caper Salsa,100,24.80629,3.85638,1.30447,1.01221,0.43482,0.08554,0.0998,0.03706687,allrecipes,US,4
3775,Greek Shrimp Dish From Santorini,100,15.34559,1.4805,0.60301,0.06654,0.61965,0.34517,0.14555,0.021209349,allrecipes,US,6
3776,Sour Cream Turkey Enchiladas,100,27.78867,1.61213,2.13014,0.37277,1.37007,0.65841,0.21301,0.04405521,allrecipes,US,4
3777,Chicken Artichoke Casserole,100,23.56238,1.60401,0.76329,0.03319,1.56714,0.4388,0.05531,0.041298696,allrecipes,US,8
3778,Jumbo Shrimp and Asparagus,100,6.51525,0.56019,0.47494,0.20094,0.31663,0.04871,0.17049,0.032880716,allrecipes,US,6
3779,Ham Tetrazzini,100,9.74993,0.41124,1.0567,0.07353,0.42486,0.18792,0.04358,0.043302776,allrecipes,US,4
3780,Crispy Fried Fish,100,30.43322,1.36805,3.32653,0.22081,1.17125,0.16321,0.0672,0.039841594,allrecipes,US,4
3781,Slow Cooker Pulled Pork,100,15.75729,0.99718,2.32361,1.00188,0.23518,0.06585,0.07056,0.046566322,allrecipes,US,8
3782,Kadhai Murgh with Bell Pepper (Capsicum),100,17.79144,1.37705,0.85377,0.31397,0.99698,0.41311,0.17626,0.018177011,allrecipes,US,6
3783,Tina's Halloween Quesadillas,100,24.60733,0.91623,3.09948,0.36126,0.95288,0.48691,0.30366,0.052356021,allrecipes,US,6
3784,Sweet and Spicy Meatloaf,100,26.24456,1.16965,1.88497,0.64282,1.55631,0.52682,0.09183,0.046882552,allrecipes,US,8
3785,Kalamata Olive,,,,,,,,,0,allrecipes,US,
3786,Double Decker Tacos,100,16.48152,0.68013,1.34227,0.07917,0.94643,0.38865,0.21951,0.026269671,allrecipes,US,12
3787,Serbian Ground Beef,,,,,,,,,0,allrecipes,US,
3788,Easiest Spicy Cod,100,14.25611,2.63572,0.67965,0.33154,0.10775,0.01658,0.17406,0.072938251,allrecipes,US,4
3789,Penne with Spicy Chicken Sausage,,,,,,,,,0,allrecipes,US,
3790,Slow Cooker Chicken Curry,100,13.85543,1.75857,1.33758,0.05329,0.15454,0.0373,0.23981,0.030375376,allrecipes,US,4
3791,Malaysian Nasi Lemak,100,21.40424,0.72212,2.12561,0.28514,1.18131,0.51844,0.12591,0.008517257,allrecipes,US,8
3792,Across the Border Tequila Shrimp,100,29.94108,3.03703,0.39707,0.05366,1.3951,0.82633,0.07512,0.071901527,allrecipes,US,4
3793,Slow Cooker Tamale Pie,100,28.71496,1.50707,2.58621,0.34111,1.36443,0.57678,0.3163,0.065740511,allrecipes,US,6
3794,Texas Smoked Flounder,100,41.55424,7.02644,0.69077,0,1.18726,0.20507,0.29142,0.030221263,allrecipes,US,2
3795,Grandma Nena's Lumpia and Pancit,100,10.29043,0.64573,1.14109,0.09435,0.35383,0.05897,0.16807,0.010319918,allrecipes,US,10
3796,Sausage Pasta,100,45.3005,1.83574,2.94849,0.1638,2.88635,1.32738,0.1751,0.059308631,allrecipes,US,7
